epoch,acc,loss,val_acc,val_loss
0,0.5276381909547738,0.6920474018882866,0.565989847715736,0.6783064047092109
1,0.5555555555555556,0.6816835812848023,0.5856958762886598,0.6658708649812285
2,0.5983040201005025,0.6680129832358815,0.6021573604060914,0.647886139487252
3,0.6215277777777778,0.6468902946722628,0.6320876288659794,0.6271649516120399
4,0.6369346733668342,0.6337165952327862,0.6706852791878173,0.5982489386185776
5,0.6496212121212122,0.6233046834517006,0.6932989690721649,0.5829153678466364
6,0.6799242424242424,0.6073600086900923,0.6916243654822335,0.5737589068219141
7,0.6802763819095478,0.5939134700813485,0.7036082474226805,0.5562889835576421
8,0.6875,0.5880482943371089,0.7210051546391752,0.5515517291334486
9,0.6947236180904522,0.5806363542475294,0.7062182741116751,0.5573331867982894
10,0.7029671717171717,0.5694434967907992,0.7384020618556701,0.5232289141600894
11,0.6906565656565656,0.5698797516148499,0.7214467005076142,0.5343640434560437
12,0.7132537688442211,0.5601415724011521,0.7474226804123711,0.5179612805548403
13,0.7247474747474747,0.5555689649449455,0.7131979695431472,0.5588005923377681
14,0.7242462311557789,0.5424809419929083,0.6978092783505154,0.5838197365249556
15,0.7095959595959596,0.5454528786317266,0.6913659793814433,0.5792025296958452
16,0.7308417085427136,0.5346628373591744,0.692258883248731,0.5807239098597299
17,0.733270202020202,0.5307489657642865,0.7235824742268041,0.5266037454310152
18,0.7238005050505051,0.5398333864380614,0.7519035532994924,0.5085181996301951
19,0.7342964824120602,0.5287190484042144,0.7287371134020618,0.518334077191107
20,0.7389520202020202,0.5248527079820633,0.7436548223350253,0.5155375602886761
21,0.7336683417085427,0.5210008911751024,0.7132731958762887,0.5334702803916538
22,0.7515782828282829,0.5124812770371485,0.7100253807106599,0.5391478293438248
23,0.7417929292929293,0.5078882854996305,0.7577319587628866,0.4908568685509495
24,0.7521984924623115,0.5054508429675845,0.7622422680412371,0.47606322760741737
25,0.7534722222222222,0.492404382638257,0.7715736040609137,0.4701099506186955
26,0.7609924623115578,0.4944729801997467,0.7551546391752577,0.475943162269199
27,0.7512626262626263,0.4879065110827937,0.7442893401015228,0.5035297649765983
28,0.7531565656565656,0.4914519768772703,0.7229381443298969,0.5409126839379674
29,0.7603643216080402,0.48286283315725664,0.751269035532995,0.4896800390959996
30,0.7714646464646465,0.47352602882216677,0.7667525773195877,0.475619801080104
31,0.7707286432160804,0.48609612095895127,0.7764175257731959,0.47638577652960706
32,0.7541035353535354,0.4835917036039661,0.7271573604060914,0.537178864636397
33,0.782035175879397,0.4623513919624252,0.7525773195876289,0.4929201092916666
34,0.7638888888888888,0.4729078126074088,0.7772842639593909,0.4681560444045188
35,0.7774621212121212,0.4714382498553305,0.7809278350515464,0.45244488242975217
36,0.772927135678392,0.4649086133319529,0.7563451776649747,0.5057322122723923
37,0.7834595959595959,0.4563843132269503,0.7693298969072165,0.46238722245103303
38,0.7880025125628141,0.4511413968088639,0.7874365482233503,0.4583571774100289
39,0.7828282828282829,0.45853884743921686,0.7667525773195877,0.47030767445097266
40,0.7758838383838383,0.4529660674508172,0.779639175257732,0.4731489280142735
41,0.7967964824120602,0.44654837685014737,0.7741116751269036,0.4543569932129177
42,0.7780934343434344,0.4620071667613405,0.7815721649484536,0.4498370071661841
43,0.7977386934673367,0.43674769398555086,0.7690355329949239,0.4732761274134447
44,0.7916666666666666,0.44007238474759186,0.782860824742268,0.45416434754415885
45,0.7919823232323232,0.43729325737616026,0.7817258883248731,0.48097436894015005
46,0.7971105527638191,0.43628472838569526,0.8015463917525774,0.43866643755091833
47,0.7878787878787878,0.43942136656154285,0.782860824742268,0.46107283841396113
48,0.7942839195979899,0.4325544471716761,0.7988578680203046,0.42975474054438206
49,0.8001893939393939,0.4321445274834681,0.7680412371134021,0.47613583182551195
50,0.7942839195979899,0.4415507741908931,0.7956852791878173,0.4446859402099842
51,0.7998737373737373,0.43276899586422274,0.7686855670103093,0.4898916940713666
52,0.8071338383838383,0.42590505757717173,0.7937817258883249,0.45058921690519693
53,0.8011934673366834,0.42425723426306067,0.8118556701030928,0.4118363326511432
54,0.8115530303030303,0.4157438385065156,0.7848984771573604,0.4544341697305592
55,0.8052763819095478,0.41926359875717356,0.7989690721649485,0.4541367906885049
56,0.8178661616161617,0.40966820483556904,0.7925257731958762,0.4721742968276604
57,0.8131313131313131,0.41984914468996454,0.7887055837563451,0.459525162420297
58,0.7996231155778895,0.4200678996404811,0.7963917525773195,0.44854603630980266
59,0.8320707070707071,0.38234609997633734,0.7639593908629442,0.5092950505653614
60,0.8131281407035176,0.40829572740511677,0.8150773195876289,0.41177876670028746
61,0.8087121212121212,0.41018135183387333,0.7791878172588832,0.4771459410487093
62,0.8140782828282829,0.40720153885959376,0.7603092783505154,0.5202425191390145
63,0.8150125628140703,0.4101653503413176,0.7905927835051546,0.44704538906357955
64,0.8188131313131313,0.39587754808893105,0.8115482233502538,0.43528531408551985
65,0.8225502512562815,0.39451756249720127,0.7951030927835051,0.44860137223275665
66,0.8143939393939394,0.3904834681689137,0.8045685279187818,0.4269595648431536
67,0.8096733668341709,0.40455361601695344,0.8086340206185567,0.42841697484254837
68,0.8181818181818182,0.4046221038307806,0.800761421319797,0.4349372709160529
69,0.8285984848484849,0.3800853199579499,0.8144329896907216,0.42745245363294465
70,0.8319723618090452,0.3679228706575518,0.8147208121827412,0.4177601859351705
71,0.8267045454545454,0.3760797894663281,0.8079896907216495,0.45595857562478054
72,0.8285175879396985,0.3889110712849315,0.8079896907216495,0.4344854460088248
73,0.8434343434343434,0.36452820069260067,0.7931472081218274,0.4785167513991976
